                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9793      8.0000000000000004E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129 
                            model_number                                num_zones                                 star_age                                   log_dt                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                                center_h2                               center_he3                               center_he4                               center_li7                               center_be7                                center_b8                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                            log_center_h1                            log_center_h2                           log_center_he3                           log_center_he4                           log_center_li7                           log_center_be7                            log_center_b8                           log_center_c12                           log_center_n14                           log_center_o16                          log_center_ne20                          log_center_mg24                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                               average_h1                               average_h2                              average_he3                              average_he4                              average_li7                              average_be7                               average_b8                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                           log_surface_h1                           log_surface_h2                          log_surface_he3                          log_surface_he4                          log_surface_li7                          log_surface_be7                           log_surface_b8                          log_surface_c12                          log_surface_n14                          log_surface_o16                         log_surface_ne20                         log_surface_mg24                           log_average_h1                           log_average_h2                          log_average_he3                          log_average_he4                          log_average_li7                          log_average_be7                           log_average_b8                          log_average_c12                          log_average_n14                          log_average_o16                         log_average_ne20                         log_average_mg24                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                                   tfm_mp                                   tfm_dp                                tfm_s_age 
                                       1                                      567                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002583817706933E-004                  9.9999822694063500E-001                  2.4008197828642711E-004                  6.7519699732902048E-005                  7.8129727774150409E-008                  9.9999822694063500E-001                  2.4008197828642711E-004                  6.7519699732902048E-005                  7.8129727774150409E-008                 -2.1531502063457246E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531502063457246E+001                 -2.1531502063457246E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6250748619092636E+000                  2.2004284543539270E+000                  1.3733233398110629E+000                  1.5943326607829427E+000                 -2.3658971541880164E-001                  5.4778881222273510E+000                 -3.0982446255165876E+000                  1.0502196747021712E+001                 -3.0982446255165876E+000                  5.4778881222273510E+000                  6.2150066982161023E-001                  8.5000999442068825E-001                  1.2968293768401149E+000                  7.0001067228923031E-001                  1.4054650174030383E-035                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.3126088897721630E-008                  1.1330785977527631E-080                  0.0000000000000000E+000                  2.6685881833238244E-003                  8.9753022458760872E-004                  9.5679134100148302E-003                  2.5800503643778647E-003                  4.7224133495297679E-003                 -1.5489533872718589E-001                 -3.4852179959688627E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.9945739963581971E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  7.0001067228923031E-001                  1.0974384841692249E-043                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.3126088897721632E-008                  9.7906568816853476E-098                  0.0000000000000000E+000                  2.6685881833238248E-003                  8.9753022458760872E-004                  9.5679134100148319E-003                  2.5800503643778642E-003                  4.7224133495297688E-003                  7.0001067228923042E-001                  3.9514058905404395E-037                  2.7955281905284692E-005                  2.7952486377094155E-001                  1.3126088897721627E-008                  5.3118613038831111E-083                  0.0000000000000000E+000                  2.6685881833238257E-003                  8.9753022458760850E-004                  9.5679134100148180E-003                  2.5800503643778642E-003                  4.7224133495297662E-003                 -1.5489533872718589E-001                 -4.2959619814351996E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.8818646587672543E+000                 -9.7009188169226391E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                 -1.5489533872718581E-001                 -3.6403248357064165E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -8.2274753273200389E+001                 -9.8999999999999986E+001                 -2.5737184413902203E+000                 -3.0469509175122096E+000                 -2.0191827637196815E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  5.6000853783138438E-001                  2.2361989101675325E-001                                        0                                        0                                        6                  1.0000000000000000E+000                  7.8000000000000000E+008                  0.0000000000000000E+000 
                                       5                                      566                  7.4416000000000000E-005                 -4.6832750158095005E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002841201096007E-004                  8.2183898217943097E-001                  1.7135398347561798E-003                  9.9999822694063500E-001                  9.4400026383186542E-001                  8.2183898217943097E-001                  1.7135398347561798E-003                  9.9999822694063500E-001                  9.4400026383186542E-001                 -2.1531501578701732E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531501578701732E+001                 -2.1531501578701732E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6235220794057401E+000                  2.1940478958215159E+000                  1.3732386255519038E+000                  1.5945018491797645E+000                 -2.3706549670126756E-001                  5.4778881998680804E+000                 -3.0982445055522194E+000                  1.0502196945334168E+001                 -3.0982445055522194E+000                  5.4778881998680804E+000                  6.2150066954698724E-001                  8.5000999442068825E-001                  1.2968293768401149E+000                  7.0001067228923031E-001                  1.0468392973148093E-034                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.3126088897721630E-008                  8.4598431793913747E-080                  0.0000000000000000E+000                  2.6685881833238244E-003                  8.9753022458760872E-004                  9.5679134100148302E-003                  2.5800503643778647E-003                  4.7224133495297679E-003                 -1.5489533872718589E-001                 -3.3980119982739602E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.9072637687428610E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  7.0001067228923031E-001                  8.2030473022441239E-043                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.3126088897721632E-008                  7.2535086731132838E-097                  0.0000000000000000E+000                  2.6685881833238248E-003                  8.9753022458760872E-004                  9.5679134100148319E-003                  2.5800503643778642E-003                  4.7224133495297688E-003                  7.0001067228923042E-001                  2.9397787553612717E-036                  2.7955281905284692E-005                  2.7952486377094155E-001                  1.3126088897721627E-008                  3.9395641917984971E-082                  0.0000000000000000E+000                  2.6685881833238261E-003                  8.9753022458760850E-004                  9.5679134100148180E-003                  2.5800503643778642E-003                  4.7224133495297662E-003                 -1.5489533872718589E-001                 -4.2086024784115928E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.8818646587672543E+000                 -9.6139451865323309E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                 -1.5489533872718581E-001                 -3.5531685352901206E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -8.1404551818673269E+001                 -9.8999999999999986E+001                 -2.5737184413902203E+000                 -3.0469509175122096E+000                 -2.0191827637196815E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  5.6000853783138438E-001                  2.2361989101675325E-001                                        0                                        0                                        6                  1.0000000000000000E+000                  7.8000000000000000E+008                  0.0000000000000000E+000 
                                      10                                      566                  2.5958682111999992E-004                 -4.2873687855713767E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002922946762818E-004                  8.2183898217943074E-001                  1.7135398424954660E-003                  9.9999811325191656E-001                  9.4400026378352042E-001                  8.2183898217943074E-001                  1.7135398424954660E-003                  9.9999811325191656E-001                  9.4400026378352042E-001                 -2.1531493845438977E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531493845438977E+001                 -2.1531493845438977E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6202224048305203E+000                  2.1803688464881321E+000                  1.3729984500356520E+000                  1.5949822004834164E+000                 -2.3235382227341628E-001                  5.4778888423907635E+000                 -3.0982435285025640E+000                  1.0502198570842060E+001                 -3.0982435285025640E+000                  5.4778888423907635E+000                  6.2150066726648245E-001                  8.5000999442068825E-001                  1.2968293768401149E+000                  7.0001067228923031E-001                  3.6512899373468192E-034                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.3126088897721630E-008                  2.9498217020802648E-079                  0.0000000000000000E+000                  2.6685881833238244E-003                  8.9753022458760872E-004                  9.5679134100148302E-003                  2.5800503643778647E-003                  4.7224133495297679E-003                 -1.5489533872718589E-001                 -3.3437553679734378E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.8530204233561761E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  7.0001067228923031E-001                  2.8955178057169728E-042                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.3126088897721632E-008                  2.5578307883484280E-096                  0.0000000000000000E+000                  2.6685881833238248E-003                  8.9753022458760872E-004                  9.5679134100148319E-003                  2.5800503643778642E-003                  4.7224133495297688E-003                  7.0001067228923042E-001                  1.0256705354344200E-035                  2.7955281905284692E-005                  2.7952486377094155E-001                  1.3126088897721627E-008                  1.3775524187701414E-081                  0.0000000000000000E+000                  2.6685881833238261E-003                  8.9753022458760850E-004                  9.5679134100148180E-003                  2.5800503643778642E-003                  4.7224133495297662E-003                 -1.5489533872718589E-001                 -4.1538273760068940E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.8818646587672543E+000                 -9.5592128189379352E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                 -1.5489533872718581E-001                 -3.4988992120336370E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -8.0860891866342243E+001                 -9.8999999999999986E+001                 -2.5737184413902203E+000                 -3.0469509175122096E+000                 -2.0191827637196815E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  5.6000853783138438E-001                  2.2361989101675325E-001                                        0                                        0                                        6                  1.0000000000000000E+000                  7.8000000000000000E+008                  0.0000000000000000E+000 
                                      15                                      566                  7.2035107872931792E-004                 -3.8914625553332525E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002888352483025E-004                  8.2183898217943097E-001                  4.6985723951876903E-004                  9.9999811325191656E-001                  9.4400026379104252E-001                  8.2183898217943097E-001                  4.6985723951876903E-004                  9.9999811325191656E-001                  9.4400026379104252E-001                 -2.1531436584928830E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531436584928830E+001                 -2.1531436584928830E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6148213101255720E+000                  2.1577169988992604E+000                  1.3724747156511137E+000                  1.5960296698426968E+000                 -1.8365641341204703E-001                  5.4778927501161512E+000                 -3.0982375862658413E+000                  1.0502208456903563E+001                 -3.0982375862658413E+000                  5.4778927501161512E+000                  6.2150065339605465E-001                  8.5000999442068825E-001                  1.2968293768401149E+000                  7.0001067228923031E-001                  1.0125856104825406E-033                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.3126088897721630E-008                  8.1672471266400782E-079                  0.0000000000000000E+000                  2.6685881833238244E-003                  8.9753022458760872E-004                  9.5679134100148302E-003                  2.5800503643778647E-003                  4.7224133495297679E-003                 -1.5489533872718589E-001                 -3.2994568248519819E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.8087924303219822E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  7.0001067228923031E-001                  8.2226828837813926E-042                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.3126088897721632E-008                  7.2619460181109537E-096                  0.0000000000000000E+000                  2.6685881833238248E-003                  8.9753022458760872E-004                  9.5679134100148319E-003                  2.5800503643778642E-003                  4.7224133495297688E-003                  7.0001067228923042E-001                  2.8465016158008180E-035                  2.7955281905284692E-005                  2.7952486377094155E-001                  1.3126088897721627E-008                  3.8256322762572455E-081                  0.0000000000000000E+000                  2.6685881833238261E-003                  8.9753022458760850E-004                  9.5679134100148180E-003                  2.5800503643778642E-003                  4.7224133495297662E-003                 -1.5489533872718589E-001                 -4.1084986458431040E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.8818646587672543E+000                 -9.5138946983751907E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                 -1.5489533872718581E-001                 -3.4545688565327509E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -8.0417296777138660E+001                 -9.8999999999999986E+001                 -2.5737184413902203E+000                 -3.0469509175122096E+000                 -2.0191827637196815E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  5.6000853783138438E-001                  2.2361989101675325E-001                                        0                                        0                                        6                  1.0000000000000000E+000                  7.8000000000000000E+008                  0.0000000000000000E+000 
                                      20                                      565                  1.8668799962237360E-003                 -3.4955563250951283E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002740193749029E-004                  8.2636862040561443E-001                  2.4009506438240236E-004                  9.9999811325191656E-001                  9.4400026386087366E-001                  8.2636862040561443E-001                  2.4009506438240236E-004                  9.9999811325191656E-001                  9.4400026386087366E-001                 -2.1531119326666015E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531119326666015E+001                 -2.1531119326666015E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6054548134011006E+000                  2.1188602400584955E+000                  1.3717793296796734E+000                  1.5974204425669494E+000                 -8.2392436840880323E-002                  5.4779111201661870E+000                 -3.0982096484037309E+000                  1.0502254934500662E+001                 -3.0982096484037309E+000                  5.4779111201661870E+000                  6.2150058817680098E-001                  8.5000999442068825E-001                  1.2968293768401149E+000                  7.0001067228923031E-001                  2.5931564203678483E-033                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.3126088897721630E-008                  2.0289097568372001E-078                  0.0000000000000000E+000                  2.6685881833238244E-003                  8.9753022458760872E-004                  9.5679134100148302E-003                  2.5800503643778647E-003                  4.7224133495297679E-003                 -1.5489533872718589E-001                 -3.2586171285600983E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.7692737269368436E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  7.0001067228923031E-001                  2.2304405643561849E-041                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.3126088897721632E-008                  1.9697011584454865E-095                  0.0000000000000000E+000                  2.6685881833238248E-003                  8.9753022458760872E-004                  9.5679134100148319E-003                  2.5800503643778642E-003                  4.7224133495297688E-003                  7.0001067228923042E-001                  7.3794445382358046E-035                  2.7955281905284692E-005                  2.7952486377094155E-001                  1.3126088897721627E-008                  9.9271210024598741E-081                  0.0000000000000000E+000                  2.6685881833238261E-003                  8.9753022458760850E-004                  9.5679134100148180E-003                  2.5800503643778642E-003                  4.7224133495297662E-003                 -1.5489533872718589E-001                 -4.0651609345126261E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.8818646587672543E+000                 -9.4705599659667357E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                 -1.5489533872718581E-001                 -3.4131976326938187E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -8.0003176684438571E+001                 -9.8999999999999986E+001                 -2.5737184413902203E+000                 -3.0469509175122096E+000                 -2.0191827637196815E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  5.6000853783138438E-001                  2.2361989101675325E-001                                        0                                        0                                        6                  1.0000000000000000E+000                  7.8000000000000000E+008                  0.0000000000000000E+000 
                                      25                                      566                  4.7198108322034464E-003                 -3.0996500948570045E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002368021556455E-004                  8.3935666133296727E-001                  2.4012263596768826E-004                  9.9999796176422873E-001                  9.4400026371255674E-001                  8.3935666133296727E-001                  2.4012263596768826E-004                  9.9999796176422873E-001                  9.4400026371255674E-001                 -2.1530031096068537E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1530031096068537E+001                 -2.1530031096068537E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5940771042436790E+000                  2.0717473909710642E+000                  1.3709783234508004E+000                  1.5990224559215533E+000                 -4.1612530100375057E-002                  5.4779718561934505E+000                 -3.0981172099390450E+000                  1.0502408669683128E+001                 -3.0981172099390450E+000                  5.4779718561934505E+000                  6.2150037238225331E-001                  8.5000999442068825E-001                  1.2968293768401149E+000                  7.0001067228923031E-001                  6.5558575501206117E-033                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.3126088897721630E-008                  5.1295689331402419E-078                  0.0000000000000000E+000                  2.6685881833238244E-003                  8.9753022458760872E-004                  9.5679134100148302E-003                  2.5800503643778647E-003                  4.7224133495297679E-003                 -1.5489533872718589E-001                 -3.2183370491628182E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.7289919129590800E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  7.0001067228923031E-001                  6.1528077411429698E-041                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.3126088897721632E-008                  5.4335662501071115E-095                  0.0000000000000000E+000                  2.6685881833238248E-003                  8.9753022458760872E-004                  9.5679134100148319E-003                  2.5800503643778642E-003                  4.7224133495297688E-003                  7.0001067228923042E-001                  1.8679766524664040E-034                  2.7955281905284692E-005                  2.7952486377094155E-001                  1.3126088897721627E-008                  2.5209091210341414E-080                  0.0000000000000000E+000                  2.6685881833238261E-003                  8.9753022458760850E-004                  9.5679134100148180E-003                  2.5800503643778642E-003                  4.7224133495297662E-003                 -1.5489533872718589E-001                 -4.0210926655245984E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.8818646587672543E+000                 -9.4264915033327696E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                 -1.5489533872718581E-001                 -3.3728628556247450E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.9598442810390509E+001                 -9.8999999999999986E+001                 -2.5737184413902203E+000                 -3.0469509175122096E+000                 -2.0191827637196815E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  5.6000853783138438E-001                  2.2361989101675325E-001                                        0                                        0                                        6                  1.0000000000000000E+000                  7.8000000000000000E+008                  0.0000000000000000E+000 
                                      30                                      561                  1.1818815689988476E-002                 -2.7037438646188803E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0001467277002744E-004                  8.5910830736687549E-001                  2.4123541686301068E-004                  9.9999811325191656E-001                  9.3344022100651003E-001                  8.5910830736687549E-001                  2.4123541686301068E-004                  9.9999811325191656E-001                  9.3344022100651003E-001                 -2.1529207462621820E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1529207462621820E+001                 -2.1529207462621820E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5869539813747355E+000                  2.0412153298337841E+000                  1.3699585386200468E+000                  1.6010620267199471E+000                 -1.7509258106376081E-002                  5.4780176878239155E+000                 -3.0980470778324780E+000                  1.0502525054584511E+001                 -3.0980470778324780E+000                  5.4780176878239155E+000                  6.2150020952892759E-001                  8.5000999442068825E-001                  1.2968293768401149E+000                  7.0001067228923031E-001                  1.6446390027880735E-032                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.3126088897721630E-008                  1.2931045157933839E-077                  0.0000000000000000E+000                  2.6685881833238244E-003                  8.9753022458760872E-004                  9.5679134100148302E-003                  2.5800503643778647E-003                  4.7224133495297679E-003                 -1.5489533872718589E-001                 -3.1783929414615113E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.6888366371640927E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  7.0001067228923031E-001                  1.7027041360484259E-040                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.3126088897721632E-008                  1.5037118492878035E-094                  0.0000000000000000E+000                  2.6685881833238248E-003                  8.9753022458760872E-004                  9.5679134100148319E-003                  2.5800503643778642E-003                  4.7224133495297688E-003                  7.0001067228923042E-001                  4.6872987668089158E-034                  2.7955281905284692E-005                  2.7952486377094155E-001                  1.3126088897721627E-008                  6.3588518443092878E-080                  0.0000000000000000E+000                  2.6685881833238261E-003                  8.9753022458760839E-004                  9.5679134100148180E-003                  2.5800503643778642E-003                  4.7224133495297662E-003                 -1.5489533872718589E-001                 -3.9768860809021767E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.8818646587672543E+000                 -9.3822835378008847E+001                 -9.8999999999999986E+001                 -2.5737184413902208E+000                 -3.0469509175122096E+000                 -2.0191827637196811E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                 -1.5489533872718581E-001                 -3.3329077363816843E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.8818646587672543E+000                 -7.9196621293580378E+001                 -9.8999999999999986E+001                 -2.5737184413902203E+000                 -3.0469509175122096E+000                 -2.0191827637196815E+000                 -2.5883718162236296E+000                 -2.3258360021020148E+000                  5.6000853783138438E-001                  2.2361989101675325E-001                                        0                                        0                                        6                  1.0000000000000000E+000                  7.8000000000000000E+008                  0.0000000000000000E+000 
