                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9793      8.0000000000000004E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126 
                            model_number                                num_zones                                 star_age                                   log_dt                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                                center_h2                               center_he3                               center_he4                               center_li7                               center_be7                                center_b8                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                            log_center_h1                            log_center_h2                           log_center_he3                           log_center_he4                           log_center_li7                           log_center_be7                            log_center_b8                           log_center_c12                           log_center_n14                           log_center_o16                          log_center_ne20                          log_center_mg24                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                               average_h1                               average_h2                              average_he3                              average_he4                              average_li7                              average_be7                               average_b8                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                           log_surface_h1                           log_surface_h2                          log_surface_he3                          log_surface_he4                          log_surface_li7                          log_surface_be7                           log_surface_b8                          log_surface_c12                          log_surface_n14                          log_surface_o16                         log_surface_ne20                         log_surface_mg24                           log_average_h1                           log_average_h2                          log_average_he3                          log_average_he4                          log_average_li7                          log_average_be7                           log_average_b8                          log_average_c12                          log_average_n14                          log_average_o16                         log_average_ne20                         log_average_mg24                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      568                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002583734712098E-004                  9.9999822694063489E-001                  2.4008197795785690E-004                  6.7519699738859048E-005                  7.8129733815868180E-008                  9.9999822694063489E-001                  2.4008197795785690E-004                  6.7519699738859048E-005                  7.8129733815868180E-008                 -2.1531526664177086E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531526664177086E+001                 -2.1531526664177086E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6250748072598848E+000                  2.2004292346358798E+000                  1.3733238392507969E+000                  1.5943307420968167E+000                 -2.3659029818892674E-001                  5.4778874492650784E+000                 -3.0982456866350940E+000                  1.0502195006920529E+001                 -3.0982456866350940E+000                  5.4778874492650784E+000                  6.2150067219132599E-001                  8.5000999446318259E-001                  1.2967695133870349E+000                  7.0001067228923031E-001                  1.4053870433306418E-035                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721866E-008                  1.1328379501550593E-080                  0.0000000000000000E+000                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.4852204054666693E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.9945832210513359E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  1.0974355302193916E-043                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  9.6906260980035219E-098                  0.0000000000000000E+000                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                  7.0001067228923042E-001                  3.9511820685018493E-037                  2.7955281905284699E-005                  2.7952486377094160E-001                  1.2531170550721869E-008                  5.3107260381028507E-083                  0.0000000000000000E+000                  3.5167252522529599E-003                  1.0301620435492560E-003                  9.5647424084856596E-003                  2.1452815719479085E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -4.2959620983333998E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.7013648162874517E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718581E-001                 -3.6403272957784033E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -8.2274846101745794E+001                 -9.8999999999999986E+001                 -2.4538615600570655E+000                 -2.9870944557957517E+000                 -2.0193267216199224E+000                 -2.6685156978299256E+000                 -2.3788668536517190E+000                  5.6000853783138438E-001                  2.2361989101675331E-001                                        0                                        0                                        6 
                                       5                                      566                  7.4416000000000000E-005                 -4.6832750158095005E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002841167807737E-004                  8.2183898217938489E-001                  1.7135398347665927E-003                  9.9999822694063500E-001                  9.4400026383181690E-001                  8.2183898217938489E-001                  1.7135398347665927E-003                  9.9999822694063500E-001                  9.4400026383181690E-001                 -2.1531526180124978E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                 -2.1531526180124978E+001                 -2.1531526180124978E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6235220234526628E+000                  2.1940486704204991E+000                  1.3732391247575499E+000                  1.5945001714505680E+000                 -2.3706642523255100E-001                  5.4778875267169269E+000                 -3.0982455670185440E+000                  1.0502195204694853E+001                 -3.0982455670185440E+000                  5.4778875267169269E+000                  6.2150067191734781E-001                  8.5000999446318237E-001                  1.2967695133870352E+000                  7.0001067228923031E-001                  1.0467808310809567E-034                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721866E-008                  8.4580349910123667E-080                  1.0000000000000000E-099                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.3980144238871269E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.9072730522502880E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  8.2030285719363025E-043                  2.7955281905284695E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  7.2434886142460729E-097                  1.0000000000000002E-099                  3.5167252522529582E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                  7.0001067228923042E-001                  2.9396121685984524E-036                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721869E-008                  3.9387210775496816E-082                  1.0000000000000004E-099                  3.5167252522529603E-003                  1.0301620435492560E-003                  9.5647424084856578E-003                  2.1452815719479081E-003                  4.1795848505164759E-003                 -1.5489533872718589E-001                 -4.2086025775757001E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.6140052218193787E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718581E-001                 -3.5531709963515745E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -8.1404644772877077E+001                 -9.8999999999999986E+001                 -2.4538615600570655E+000                 -2.9870944557957517E+000                 -2.0193267216199224E+000                 -2.6685156978299256E+000                 -2.3788668536517190E+000                  5.6000853783138438E-001                  2.2361989101675331E-001                                        0                                        0                                        6 
                                      10                                      566                  2.5958682111999992E-004                 -4.2873687855713767E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002922929484188E-004                  8.2183898217938489E-001                  1.7135398425071687E-003                  9.9999811325191656E-001                  9.4400026378345214E-001                  8.2183898217938489E-001                  1.7135398425071687E-003                  9.9999811325191656E-001                  9.4400026378345214E-001                 -2.1531518448771305E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531518448771305E+001                 -2.1531518448771305E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6202223432631997E+000                  2.1803695972892747E+000                  1.3729989485708638E+000                  1.5949805248643538E+000                 -2.3235476369752894E-001                  5.4778881682700113E+000                 -3.0982445889747354E+000                  1.0502196830205515E+001                 -3.0982445889747354E+000                  5.4778881682700113E+000                  6.2150066964154771E-001                  8.5000999446318259E-001                  1.2967695133870349E+000                  7.0001067228923031E-001                  3.6510831716919963E-034                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  2.9491828285719501E-079                  1.0000000000000000E-099                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.3437578273707224E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.8530298303413360E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  2.8955113647812760E-042                  2.7955281905284688E-005                  2.7952486377094155E-001                  1.2531170550721866E-008                  2.5568238511386684E-096                  9.9999999999999982E-100                  3.5167252522529573E-003                  1.0301620435492552E-003                  9.5647424084856457E-003                  2.1452815719479055E-003                  4.1795848505164768E-003                  7.0001067228923008E-001                  1.0256124278567630E-035                  2.7955281905284688E-005                  2.7952486377094155E-001                  1.2531170550721863E-008                  1.3772578652617165E-081                  1.0000000000000002E-099                  3.5167252522529595E-003                  1.0301620435492560E-003                  9.5647424084856544E-003                  2.1452815719479072E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -4.1538274726136542E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.5592299191063844E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299265E+000                 -2.3788668536517186E+000                 -1.5489533872718603E-001                 -3.4989016725230762E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -8.0860984738773112E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957517E+000                 -2.0193267216199224E+000                 -2.6685156978299260E+000                 -2.3788668536517190E+000                  5.6000853783138416E-001                  2.2361989101675325E-001                                        0                                        0                                        6 
                                      15                                      566                  7.2035107872931792E-004                 -3.8914625553332525E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002888335706603E-004                  8.2183898217938500E-001                  4.6985740869671087E-004                  9.9999811325191656E-001                  9.4400026379096025E-001                  8.2183898217938500E-001                  4.6985740869671087E-004                  9.9999811325191656E-001                  9.4400026379096025E-001                 -2.1531461191686709E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531461191686709E+001                 -2.1531461191686709E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6148212424258279E+000                  2.1577177214761374E+000                  1.3724752123390396E+000                  1.5960279995926356E+000                 -1.8365739556802121E-001                  5.4778920755633616E+000                 -3.0982386461605489E+000                  1.0502206716401998E+001                 -3.0982386461605489E+000                  5.4778920755633616E+000                  6.2150065577348468E-001                  8.5000999446318259E-001                  1.2967695133870349E+000                  7.0001067228923031E-001                  1.0125115386715951E-033                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721869E-008                  8.1649971071579427E-079                  1.0000000000000000E-099                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.2994600018826524E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.8088043964796938E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923042E-001                  8.2226649578844765E-042                  2.7955281905284695E-005                  2.7952486377094160E-001                  1.2531170550721869E-008                  7.2609265985305843E-096                  1.0000000000000002E-099                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                  7.0001067228923008E-001                  2.8463403494262576E-035                  2.7955281905284685E-005                  2.7952486377094143E-001                  1.2531170550721866E-008                  3.8248143868647091E-081                  1.0000000000000000E-099                  3.5167252522529595E-003                  1.0301620435492558E-003                  9.5647424084856561E-003                  2.1452815719479076E-003                  4.1795848505164750E-003                 -1.5489533872718581E-001                 -4.1084987405217710E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.5139007953549125E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718603E-001                 -3.4545713170646621E+001                 -4.5535361238920808E+000                 -5.5357955551188920E-001                 -7.9020083591754311E+000                 -8.0417389635730316E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957517E+000                 -2.0193267216199224E+000                 -2.6685156978299260E+000                 -2.3788668536517190E+000                  5.6000853783138416E-001                  2.2361989101675320E-001                                        0                                        0                                        6 
                                      20                                      565                  1.8668799962237360E-003                 -3.4955563250951283E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002740168487999E-004                  8.2636862040556880E-001                  2.4009506717844037E-004                  9.9999811325191656E-001                  9.4400026386074631E-001                  8.2636862040556880E-001                  2.4009506717844037E-004                  9.9999811325191656E-001                  9.4400026386074631E-001                 -2.1531143936013716E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1531143936013716E+001                 -2.1531143936013716E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6054547430388535E+000                  2.1188609460010235E+000                  1.3717798233754317E+000                  1.5974187805179836E+000                 -8.2392856069945258E-002                  5.4779104465300987E+000                 -3.0982107094206159E+000                  1.0502253193815022E+001                 -3.0982107094206159E+000                  5.4779104465300987E+000                  6.2150059055074924E-001                  8.5000999446318259E-001                  1.2967695133870349E+000                  7.0001067228923031E-001                  2.5930204198207922E-033                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  2.0285010903501540E-078                  1.0000000000000000E-099                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.2586194063184145E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.7692824754519705E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923020E-001                  2.2304358618766469E-041                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  1.9695960090911205E-095                  9.9999999999999982E-100                  3.5167252522529573E-003                  1.0301620435492550E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164759E-003                  7.0001067228923008E-001                  7.3790264261219642E-035                  2.7955281905284682E-005                  2.7952486377094143E-001                  1.2531170550721864E-008                  9.9249986977048129E-081                  1.0000000000000002E-099                  3.5167252522529590E-003                  1.0301620435492558E-003                  9.5647424084856561E-003                  2.1452815719479076E-003                  4.1795848505164750E-003                 -1.5489533872718594E-001                 -4.0651610260758403E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.4705622844404360E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517190E+000                 -1.5489533872718603E-001                 -3.4132000934336112E+001                 -4.5535361238920808E+000                 -5.5357955551188920E-001                 -7.9020083591754311E+000                 -8.0003269541550196E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957517E+000                 -2.0193267216199224E+000                 -2.6685156978299260E+000                 -2.3788668536517190E+000                  5.6000853783138416E-001                  2.2361989101675320E-001                                        0                                        0                                        6 
                                      25                                      566                  4.7198108322034464E-003                 -3.0996500948570045E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0002367973177723E-004                  8.3935666133292253E-001                  2.4012263530834134E-004                  9.9999796176422873E-001                  9.4400026371247348E-001                  8.3935666133292253E-001                  2.4012263530834134E-004                  9.9999796176422873E-001                  9.4400026371247348E-001                 -2.1530055703577503E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1530055703577503E+001                 -2.1530055703577503E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5940770043951722E+000                  2.0717479736521756E+000                  1.3709788144883708E+000                  1.5990208017333147E+000                 -4.1612683879300165E-002                  5.4779711821036372E+000                 -3.0981182704091004E+000                  1.0502406929079484E+001                 -3.0981182704091004E+000                  5.4779711821036372E+000                  6.2150037476182107E-001                  8.5000999446318259E-001                  1.2967695133870352E+000                  7.0001067228923031E-001                  6.5554932612900824E-033                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721866E-008                  5.1284777149700442E-078                  1.0000000000000000E-099                  3.5167252522529582E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.2183394624706644E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.7290011527305083E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  6.1527964694383922E-041                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  5.4334534199560073E-095                  1.0000000000000000E-099                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                  7.0001067228923008E-001                  1.8678708114823810E-034                  2.7955281905284685E-005                  2.7952486377094149E-001                  1.2531170550721864E-008                  2.5203701933214639E-080                  1.0000000136983917E-099                  3.5167252522529595E-003                  1.0301620435492560E-003                  9.5647424084856544E-003                  2.1452815719479076E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -4.0210927450857319E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.4264924051717927E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718603E-001                 -3.3728653164401706E+001                 -4.5535361238920808E+000                 -5.5357955551188909E-001                 -7.9020083591754311E+000                 -7.9598535665127585E+001                 -9.8999999994050853E+001                 -2.4538615600570659E+000                 -2.9870944557957517E+000                 -2.0193267216199224E+000                 -2.6685156978299260E+000                 -2.3788668536517190E+000                  5.6000853783138416E-001                  2.2361989101675322E-001                                        0                                        0                                        6 
                                      30                                      561                  1.1818815689988476E-002                 -2.7037438646188803E+000                  3.3201768437552126E+001                 -9.8999999999999986E+001                  1.0001467171953135E-004                  8.5910830736683275E-001                  2.4123536203050572E-004                  9.9999811325191656E-001                  9.3344022100623458E-001                  8.5910830736683275E-001                  2.4123536203050572E-004                  9.9999811325191656E-001                  9.3344022100623458E-001                 -2.1529232051123529E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1529232051123529E+001                 -2.1529232051123529E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5869538581792852E+000                  2.0412158101911415E+000                  1.3699590251896270E+000                  1.6010603846929390E+000                 -1.7509449776560874E-002                  5.4780170144625000E+000                 -3.0980481365775412E+000                  1.0502523316437415E+001                 -3.0980481365775412E+000                  5.4780170144625000E+000                  6.2150021190878046E-001                  8.5000999446318259E-001                  1.2967695133870352E+000                  7.0001067228923031E-001                  1.6445476423077213E-032                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721869E-008                  1.2928295124776808E-077                  1.0000000000000000E-099                  3.5167252522529573E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.1783953540550652E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.6888458742460642E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  1.7027017215357074E-040                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  1.5036988796773846E-094                  1.0000000000000000E-099                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856457E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                  7.0001067228923042E-001                  4.6870332557480901E-034                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.2531170550721873E-008                  6.3574928339809736E-080                  1.0000000136983919E-099                  3.5167252522529599E-003                  1.0301620435492563E-003                  9.5647424084856578E-003                  2.1452815719479081E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -3.9768861424871737E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.3822839123842556E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718581E-001                 -3.3329101965033949E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.9020083591754311E+000                 -7.9196714120678678E+001                 -9.8999999994050853E+001                 -2.4538615600570655E+000                 -2.9870944557957517E+000                 -2.0193267216199224E+000                 -2.6685156978299256E+000                 -2.3788668536517190E+000                  5.6000853783138438E-001                  2.2361989101675336E-001                                        0                                        0                                        6 
